id;sexe;collier_id;eleveur_id;debutPortColl;finPortColl;Transhu;Village
VBR11;F;44165;BR1;10/05/21 19:10;10/11/23 18:00;FALSE;Barry
VBR21;F;44166;BR2;10/05/21 18:55;09/07/21 15:40;FALSE;Barry
VBR31;F;44166;BR3;09/07/21 17:00;21/12/21 19:00;FALSE;Barry
VBT11;F;44171;BT1;10/05/21 16:15;01/09/21 00:00;TRUE;Barry
VBT12;F;44171;BT1;02/09/21 22:00;12/01/22 12:00;TRUE;Barry
VBT21;F;44167;BT2;10/05/21 06:50;06/12/23 16:00;TRUE;Barry
VBT31;F;44169;BT3;10/05/21 17:11;06/12/23 16:30;TRUE;Barry
VBT41;F;44164;BT4;10/05/21 10:00;15/01/23 10:00;TRUE;Barry
VBT51;F;44171;BT5;20/04/22 00:00;18/03/23 00:00;TRUE;Barry
VBT61;F;44171;BT6;05/04/23 12:00;08/12/23 08:00;TRUE;Barry
VDR11;F;44163;DR1;10/05/21 20:10;08/11/23 16:30;FALSE;Diohine
VDR21;F;44160;DR2;10/05/21 19:50;06/12/23 14:00;FALSE;Diohine
VDT11;F;44172;DT1;10/05/21 12:00;10/11/23 11:30;TRUE;Diohine
VDT21;F;44168;DT2;10/05/21 11:34;10/11/23 09:00;TRUE;Diohine
VDT31;F;44162;DT3;10/05/21 13:00;10/11/23 09:00;TRUE;Diohine
VDT41;F;44166;DT4;20/04/22 11:00;06/12/23 14:00;TRUE;Diohine
VIT11;F;44161;IT1;10/06/21 18:31;06/12/23 14:00;TRUE;Tatki
VSR11;F;44173;SR1;09/05/21 18:50;20/12/22 00:00;FALSE;Sob
VSR11;F;44164;SR1;06/04/23 15:00;11/11/23 10:00;FALSE;Sob
VSR21;F;44159;SR2;09/05/21 18:36;11/11/23 10:00;FALSE;Sob
VST21;F;44170;ST2;09/05/21 18:25;10/11/23 09:00;TRUE;Sob
